tokens,;ner_tags
antagonista;I-Gene_o_prodotto_genico
inibisce;O
ischemic;O
e;O
eccitotossico;O
neuronale;B-Cellula
danno;O
in;O
il;O
ratto;B-Organismo
.;O
;
Interleuche;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
1;I-Gene_o_prodotto_genico
(;O
-;I-Gene_o_prodotto_genico
1;I-Gene_o_prodotto_genico
);O
sintesi;O
in;O
il;O
cervello;B-Organo
è;O
stimolato;O
di;O
meccanico;O
lesione;O
e;O
-;I-Gene_o_prodotto_genico
1;I-Gene_o_prodotto_genico
mimiche;O
alcuni;O
Effetti;O
di;O
lesione;O
""",""";O
tale;O
come;O
gliosis;O
e;O
neovascolarizzazione;O
.;O
;
Noi;O
rapporto;O
Quello;O
neuronale;B-Cellula
Morte;O
risultante;O
focale;O
cerebrale;B-Organo
ischemia;O
(;O
mezzo;O
cerebrale;B-Struttura_multi-tessuto
arteria;I-Struttura_multi-tessuto
occlusione;O
""",""";O
24;O
h;O
);O
è;O
inibito;O
(;O
di;O
50;O
%;O
);O
in;O
ratti;B-Organismo
iniettato;O
un;O
ricombinante;O
-;I-Gene_o_prodotto_genico
1;I-Gene_o_prodotto_genico
recettore;I-Gene_o_prodotto_genico
antagonista;I-Gene_o_prodotto_genico
(;O
-;I-Gene_o_prodotto_genico
1Re;I-Gene_o_prodotto_genico
""",""";O
10;O
microgrammi;O
""",""";O
ICV;O
30;O
min;O
prima;O
e;O
10;O
min;O
dopo;O
ischemia;O
);O
.;O
;
Eccitotossico;O
danno;O
dovuto;O
a;O
striatale;B-Struttura_multi-tessuto
infusione;O
di;O
un;O
NMDA;B-Semplice_chimico
-;O
recettore;O
agonista;O
(;O
cis;B-Semplice_chimico
-;I-Semplice_chimico
2;I-Semplice_chimico
""",""";I-Semplice_chimico
4;I-Semplice_chimico
-;I-Semplice_chimico
Methanoglutamate;I-Semplice_chimico
);O
era;O
anche;O
marcatamente;O
inibito;O
(;O
71;O
%;O
);O
di;O
iniezione;O
di;O
il;O
-;I-Gene_o_prodotto_genico
1Re;I-Gene_o_prodotto_genico
.;O
;
Queste;O
dati;O
indicare;O
Quello;O
endogeno;O
-;I-Gene_o_prodotto_genico
1;I-Gene_o_prodotto_genico
è;O
un;O
mediatore;O
di;O
ischemic;O
e;O
eccitotossico;O
cervello;B-Organo
danno;O
""",""";O
e;O
Quello;O
inibitori;O
di;O
-;I-Gene_o_prodotto_genico
1;I-Gene_o_prodotto_genico
azione;O
può;O
essere;O
di;O
terapeutico;O
valore;O
in;O
il;O
trattamento;O
di;O
acuto;O
o;O
cronico;O
neuronale;B-Cellula
Morte;O
.;O
;
Trascrizionale;O
e;O
inviare;O
-;O
traduzione;O
regolamento;O
di;O
il;O
Tie1;B-Gene_o_prodotto_genico
recettore;I-Gene_o_prodotto_genico
di;O
fluido;O
shear;O
fatica;O
in;O
vascolare;B-Cellula
endoteliale;I-Cellula
cellule;I-Cellula
.;O
;
Il;O
interazione;O
tra;O
il;O
vascolare;B-Tessuto
endotelio;I-Tessuto
e;O
emodinamico;O
forze;O
(;O
e;O
""",""";O
fluido;O
shear;O
fatica;O
);O
""",""";O
indotto;O
di;O
il;O
flusso;O
di;O
sangue;B-Sostanza_organismo
""",""";O
gioca;O
un;O
maggiore;O
ruolo;O
in;O
vascolare;B-Struttura_multi-tessuto
rimodellamento;O
e;O
in;O
nuovo;O
sangue;B-Struttura_multi-tessuto
navi;I-Struttura_multi-tessuto
formazione;O
attraverso;O
un;O
processi;O
definito;O
Arteriogenesi;O
.;O
;
Tie1;B-Gene_o_prodotto_genico
è;O
un;O
orfano;O
tirosina;O
chinasi;O
recettore;O
espresso;O
quasi;O
esclusivamente;O
in;O
endoteliale;B-Cellula
cellule;I-Cellula
e;O
è;O
necessario;O
per;O
normale;O
vascolare;B-Struttura_multi-tessuto
sviluppo;O
e;O
Manutenzione;O
.;O
;
Il;O
regalo;O
studio;O
Dimostra;O
Quello;O
Tie1;B-Gene_o_prodotto_genico
espressione;O
è;O
rapidamente;O
-;O
regolato;O
in;O
endoteliale;B-Cellula
cellule;I-Cellula
esposto;O
a;O
shear;O
fatica;O
""",""";O
e;O
così;O
a;O
shear;O
fatica;O
.;O
;
Questo;O
-;O
regolamento;O
è;O
accompagnato;O
di;O
un;O
rapido;O
scollatura;O
di;O
Tie1;B-Gene_o_prodotto_genico
e;O
legame;O
di;O
il;O
Cleaved;O
Tie1;B-Gene_o_prodotto_genico
45;O
kda;O
endodomain;O
a;O
Tie2;B-Gene_o_prodotto_genico
.;O
;
Il;O
rapido;O
scollatura;O
di;O
Tie1;B-Gene_o_prodotto_genico
è;O
seguito;O
di;O
un;O
trascrizionale;O
-;O
regolamento;O
in;O
risposta;O
a;O
shear;O
fatica;O
.;O
;
Il;O
attività;O
di;O
il;O
Tie1;B-Gene_o_prodotto_genico
promotore;O
è;O
soppresso;O
di;O
shear;O
fatica;O
e;O
di;O
tumore;B-Gene_o_prodotto_genico
necrosi;I-Gene_o_prodotto_genico
fattore;I-Gene_o_prodotto_genico
alfa;I-Gene_o_prodotto_genico
.;O
;
Shear;O
fatica;O
-;O
indotto;O
trascrizionale;O
soppressione;O
di;O
Tie1;B-Gene_o_prodotto_genico
è;O
mediato;O
di;O
un;O
negativo;O
shear;O
fatica;O
risposta;O
elemento;O
""",""";O
localizzato;O
in;O
un;O
regione;O
di;O
250;O
BP;O
entro;O
il;O
promotore;O
.;O
;
Il;O
rapido;O
-;O
regolamento;O
di;O
Tie1;B-Gene_o_prodotto_genico
di;O
shear;O
fatica;O
e;O
suo;O
rapido;O
legame;O
a;O
Tie2;B-Gene_o_prodotto_genico
può;O
essere;O
necessario;O
per;O
destabilizzazione;O
di;O
endoteliale;B-Cellula
cellule;I-Cellula
in;O
ordine;O
a;O
iniziato;O
il;O
processi;O
di;O
vascolare;B-Struttura_multi-tessuto
ristrutturazione;O
.;O
;
Terapeutico;O
angiogenesi;O
:;O
un;O
complesso;O
problema;O
richiedendo;O
un;O
sofisticato;O
approccio;O
.;O
;
Sangue;B-Sostanza_organismo
e;O
vascolare;B-Struttura_multi-tessuto
disturbi;O
un;O
pletora;O
di;O
patologico;O
Condizioni;O
e;O
sono;O
il;O
separare;O
frequente;O
causa;O
di;O
umano;B-Organismo
malattia;O
.;O
;
Ischemia;O
""",""";O
coinvolgimento;O
limitato;O
sangue;B-Sostanza_organismo
flusso;O
a;O
tessuti;B-Tessuto
è;O
il;O
Comune;O
conseguenza;O
di;O
nave;B-Struttura_multi-tessuto
disfunzione;O
risultante;O
in;O
il;O
interruzione;O
di;O
ossigeno;B-Semplice_chimico
e;O
nutriente;O
consegna;O
e;O
il;O
accumulo;O
di;O
sciupare;O
metaboliti;O
.;O
;
Cellule;B-Cellula
sopravvivere;O
esteso;O
acuto;O
ischemia;O
ma;O
può;O
essere;O
capace;O
a;O
adattare;O
a;O
un;O
moderare;O
condizione;O
dove;O
diffusione;O
a;O
e;O
confinante;O
Nonischemic;O
regioni;O
sostenere;O
vitale;O
funzioni;O
.;O
;
Sotto;O
questo;O
condizione;O
""",""";O
il;O
secondario;O
funzioni;O
di;O
effettuato;O
cellule;B-Cellula
sono;O
probabile;O
a;O
essere;O
compromesso;O
""",""";O
e;O
un;O
nuovo;O
metabolico;O
equilibrio;O
è;O
stabilito;O
""",""";O
determinato;O
di;O
il;O
livello;O
di;O
attraverso;O
-;O
diffusione;O
e;O
livello;O
di;O
ipossia;O
.;O
;
In;O
tessuti;B-Tessuto
un;O
normalmente;O
alto;O
metabolico;O
turnover;O
tale;O
come;O
scheletrico;B-Tessuto
e;O
cardiaco;B-Tessuto
muscolo;I-Tessuto
""",""";O
anche;O
mite;O
ischemia;O
cause;O
ipossia;O
""",""";O
acidosi;O
""",""";O
e;O
depresso;O
funzione;O
(;O
Contrattività;O
);O
e;O
infine;O
minaccia;O
miocito;B-Cellula
Viabilità;O
e;O
organo;B-Organo
funzione;O
.;O
;
Ischemic;O
cardiaco;B-Tessuto
muscolo;I-Tessuto
è;O
inoltre;O
vulnerabile;O
perché;O
riperfusione;O
è;O
essenziale;O
per;O
sopravvivenza;O
ma;O
riperfusione;O
si;O
pose;O
aggiuntivo;O
fatica;O
principalmente;O
produzione;O
di;O
gratuito;O
radicali;O
durante;O
reossigenazione;O
.;O
;
Il;O
quest'ultimo;O
effetto;O
è;O
chiamato;O
riperfusione;O
lesione;O
e;O
Potere;O
causa;O
come;O
tanto;O
danno;O
come;O
il;O
ischemia;O
.;O
;
Il;O
trattamento;O
possibilità;O
per;O
ischemia;O
-;O
imparentato;O
vascolare;B-Struttura_multi-tessuto
malattia;O
sono;O
limitato;O
.;O
;
Lipid;B-Semplice_chimico
/;O
colesterolo;B-Semplice_chimico
-;O
abbassamento;O
agenti;O
""",""";O
dieta;O
e;O
Antiplatelet;B-Cellula
aderente;O
(;O
aspirina;B-Semplice_chimico
);O
terapia;O
può;O
aiuto;O
Lento;O
il;O
progressione;O
di;O
nave;B-Struttura_multi-tessuto
malattia;O
in;O
alcuni;O
istanze;O
";";O
ma;O
chirurgico;O
ricostruzione;O
può;O
essere;O
il;O
soltanto;O
opzione;O
in;O
Avanzate;O
fasi;O
""",""";O
e;O
anche;O
questo;O
è;O
non;O
sempre;O
un;O
opzione;O
.;O
;
Un;O
alternativa;O
e;O
piuttosto;O
ovvio;O
strategia;O
a;O
trattare;O
ischemia;O
è;O
a;O
attivare;O
endogeno;O
angiogenico;O
o;O
arteriogenico;O
percorsi;O
a;O
stimolare;O
rivascolarizzazione;O
di;O
il;O
.;O
;
Il;O
fattibilità;O
di;O
tale;O
un;O
strategia;O
ha;O
Ora;O
stato;O
stabilito;O
attraverso;O
il;O
risultati;O
di;O
Studi;O
terminato;O
il;O
passato;O
decennio;O
""",""";O
e;O
un;O
nuovo;O
disciplina;O
chiamato;O
terapeutico;O
angiogenesi;O
ha;O
.;O
;
Questo;O
recensione;O
Su;O
il;O
applicazione;O
di;O
terapeutico;O
angiogenesi;O
per;O
trattamento;O
ischemic;O
muscolo;B-Organo
malattia;O
e;O
include;O
un;O
critico;O
valutazione;O
di;O
il;O
parametri;O
e;O
limitazioni;O
di;O
attuale;O
procedure;O
.;O
;
Il;O
sviluppo;O
di;O
questo;O
tecnologia;O
ha;O
beneficiato;O
suo;O
applicazione;O
a;O
entrambi;O
periferica;B-Tessuto
e;O
coronario;B-Struttura_multi-tessuto
arteria;I-Struttura_multi-tessuto
malattia;O
e;O
risultati;O
entrambi;O
sono;O
rivisto;O
qui;O
.;O
;
Espressione;O
""",""";O
regolamento;O
""",""";O
e;O
funzione;O
di;O
IGF;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
1;I-Gene_o_prodotto_genico
""",""";O
IGF;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
1R;I-Gene_o_prodotto_genico
""",""";O
e;O
IGF;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
1;I-Gene_o_prodotto_genico
legame;I-Gene_o_prodotto_genico
proteine;I-Gene_o_prodotto_genico
in;O
sangue;B-Struttura_multi-tessuto
navi;I-Struttura_multi-tessuto
.;O
;
Il;O
vascolare;B-Struttura_multi-tessuto
insulina;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
Come;I-Gene_o_prodotto_genico
crescita;I-Gene_o_prodotto_genico
fattore;I-Gene_o_prodotto_genico
(;I-Gene_o_prodotto_genico
IGF;I-Gene_o_prodotto_genico
);I-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
1;I-Gene_o_prodotto_genico
sistema;O
include;O
il;O
IGFS;B-Gene_o_prodotto_genico
""",""";O
il;O
IGF;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
1;I-Gene_o_prodotto_genico
recettore;I-Gene_o_prodotto_genico
(;O
IGF;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
1R;I-Gene_o_prodotto_genico
);O
""",""";O
e;O
multiplo;O
legame;O
proteine;O
.;O
;
Questo;O
crescita;O
fattore;O
sistema;O
esercitazioni;O
multiplo;O
fisiologico;O
Effetti;O
Su;O
il;O
Vasculature;B-Sistema_anatomico
attraverso;O
entrambi;O
endocrino;O
e;O
Autocrine;O
/;O
paracrina;O
meccanismi;O
.;O
;
Il;O
Effetti;O
di;O
IGF;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
1;I-Gene_o_prodotto_genico
sono;O
mediato;O
principalmente;O
attraverso;O
il;O
IGF;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
1R;I-Gene_o_prodotto_genico
ma;O
sono;O
modulato;O
di;O
complesso;O
interazioni;O
multiplo;O
IGF;B-Gene_o_prodotto_genico
legame;I-Gene_o_prodotto_genico
proteine;I-Gene_o_prodotto_genico
Quello;O
sono;O
regolato;O
di;O
fosforilazione;O
""",""";O
proteolisi;O
""",""";O
polimerizzazione;O
""",""";O
e;O
cellula;B-Cellula
o;O
matrice;B-Componente_cellulare
associazione;O
.;O
;
Durante;O
il;O
Ultimo;O
decennio;O
""",""";O
un;O
significativo;O
corpo;O
di;O
prova;O
ha;O
accumulato;O
""",""";O
indicante;O
Quello;O
espressione;O
di;O
il;O
componenti;O
di;O
il;O
IGF;B-Gene_o_prodotto_genico
sistema;O
sono;O
regolato;O
di;O
multiplo;O
fattori;O
""",""";O
Compreso;O
crescita;O
fattori;O
""",""";O
citochines;O
""",""";O
lipoproteine;O
""",""";O
reattivo;B-Semplice_chimico
ossigeno;I-Semplice_chimico
specie;I-Semplice_chimico
""",""";O
e;O
emodinamico;O
forze;O
.;O
;
In;O
aggiunta;O
""",""";O
attraverso;O
-;O
parlare;O
tra;O
il;O
IGF;B-Gene_o_prodotto_genico
sistema;O
e;O
Altro;O
crescita;O
fattori;O
e;O
integin;B-Gene_o_prodotto_genico
recettori;O
ha;O
stato;O
dimostrato;O
.;O
;
Là;O
è;O
Accumulo;O
prova;O
di;O
un;O
ruolo;O
per;O
IGF;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
1;I-Gene_o_prodotto_genico
in;O
multiplo;O
vascolare;B-Struttura_multi-tessuto
patologie;O
""",""";O
Compreso;O
aterosclerosi;O
""",""";O
ipertensione;O
""",""";O
Restenosi;O
""",""";O
angiogenesi;O
""",""";O
e;O
diabetico;O
vascolare;B-Struttura_multi-tessuto
malattia;O
.;O
;
Questo;O
recensione;O
volere;O
discutere;O
il;O
regolamento;O
di;O
espressione;O
di;O
IGF;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
1;I-Gene_o_prodotto_genico
""",""";O
IGF;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
1R;I-Gene_o_prodotto_genico
""",""";O
e;O
IGF;B-Gene_o_prodotto_genico
legame;I-Gene_o_prodotto_genico
proteine;I-Gene_o_prodotto_genico
in;O
il;O
Vasculature;B-Sistema_anatomico
e;O
ricapitolare;O
prova;O
Implicazione;O
coinvolgimento;O
di;O
questo;O
sistema;O
in;O
vascolare;B-Struttura_multi-tessuto
malattie;O
.;O
;
Microvascolare;B-Tessuto
densità;O
e;O
vascolare;B-Gene_o_prodotto_genico
endoteliale;I-Gene_o_prodotto_genico
crescita;I-Gene_o_prodotto_genico
fattore;I-Gene_o_prodotto_genico
immunoreattività;O
come;O
predittori;O
di;O
regionale;O
linfa;B-Struttura_multi-tessuto
nodo;I-Struttura_multi-tessuto
metastasi;O
betel;B-Suddivisione_organismo
-;O
associato;O
orale;B-Cancro
squamoso;I-Cancro
cellula;I-Cancro
carcinoma;I-Cancro
.;O
;
SCOPO;O
:;O
Neovascolarizzazione;O
ha;O
profondo;O
Effetti;O
Su;O
tumore;B-Cancro
crescita;O
e;O
metastasi;O
.;O
;
Vascolare;B-Gene_o_prodotto_genico
endoteliale;I-Gene_o_prodotto_genico
crescita;I-Gene_o_prodotto_genico
fattore;I-Gene_o_prodotto_genico
(;O
VEGF;B-Gene_o_prodotto_genico
);O
è;O
un;O
mitogeno;O
Quello;O
Atti;O
esclusivamente;O
Su;O
endoteliale;B-Cellula
cellule;I-Cellula
.;O
;
Il;O
ruoli;O
di;O
miscrovascolarità;B-Tessuto
densità;O
(;O
Mvd;O
);O
e;O
VEGF;B-Gene_o_prodotto_genico
espressione;O
in;O
il;O
progressione;O
di;O
orale;B-Cancro
squamoso;I-Cancro
cellula;I-Cancro
carcinoma;I-Cancro
(;O
OSCC;B-Cancro
);O
avere;O
stato;O
controverso;O
.;O
;
Il;O
scopo;O
di;O
il;O
regalo;O
studio;O
era;O
a;O
misurare;O
il;O
Mvd;O
e;O
VEGF;B-Gene_o_prodotto_genico
espressione;O
in;O
un;O
coorte;O
di;O
pazienti;B-Organismo
betel;B-Suddivisione_organismo
-;O
associato;O
OSCC;B-Cancro
e;O
a;O
valutare;O
per;O
possibile;O
clinicaopatologico;O
correlazioni;O
.;O
;
Pazienti;O
E;O
Metodi;O
:;O
Il;O
paraffina;B-Cancro
sezioni;I-Cancro
49;O
soggetti;B-Organismo
OSCC;B-Cancro
erano;O
sottoposto;O
a;O
immunoistochimico;O
Studi;O
a;O
misurare;O
il;O
massimo;O
Mvd;O
(;O
h;O
-;O
Mvd;O
);O
e;O
citoplasmatico;B-Sostanza_organismo
immunoreattività;O
di;O
VEGF;B-Gene_o_prodotto_genico
.;O
;
Il;O
reperti;O
in;O
il;O
campioni;I-Cancro
erano;O
analizzato;O
considerare;O
a;O
il;O
pazienti;B-Organismo
""",""O";
rischio;O
fattori;O
e;O
clinico;O
corso;O
.;O
;
Risultati;O
:;O
Il;O
OSCC;B-Cancro
campioni;I-Cancro
aveva;O
un;O
media;O
h;O
-;O
Mvd;O
punto;O
di;O
27;O
.;O
7;O
/;O
mm;O
(;O
2;O
);O
.;O
;
VEGF;B-Gene_o_prodotto_genico
immunoreattività;O
era;O
positivo;O
in;O
75;O
.;O
5;O
%;O
di;O
campioni;B-Cancro
.;O
;
Entrambi;O
h;O
-;O
Mvd;O
e;O
VEGF;B-Gene_o_prodotto_genico
immunoreattività;O
erano;O
statisticamente;O
associato;O
linfa;B-Struttura_multi-tessuto
nodo;I-Struttura_multi-tessuto
metastasi;O
(;O
P;O
=;O
.;O
12;O
e;O
.;O
37;O
""",""";O
rispettivamente;O
);O
.;O
;
UN;O
marginalmente;O
significativo;O
associazione;O
era;O
anche;O
notato;O
tra;O
il;O
h;O
-;O
Mvd;O
e;O
paziente;B-Organismo
sopravvivenza;O
(;O
P;O
=;O
.;O
56;O
);O
.;O
;
Il;O
età;O
e;O
orale;B-Suddivisione_organismo
abitudini;O
di;O
pazienti;B-Organismo
""",""";O
come;O
bene;O
come;O
il;O
tumore;B-Cancro
posto;O
e;O
dimensione;O
""",""";O
fatto;O
non;O
apparire;O
a;O
essere;O
correlato;O
h;O
-;O
Mvd;O
o;O
VEGF;B-Gene_o_prodotto_genico
immunoreattività;O
.;O
;
CONCLUSIONE;O
:;O
Il;O
dati;O
suggerire;O
Quello;O
entrambi;O
h;O
-;O
Mvd;O
e;O
VEGF;B-Gene_o_prodotto_genico
immunoreattività;O
può;O
essere;O
utile;O
predittori;O
per;O
il;O
progressione;O
di;O
un;O
sottoinsieme;O
di;O
OSCC;B-Cancro
associato;O
soprattutto;O
betel;B-Suddivisione_organismo
utilizzo;O
.;O
;
Antiangiogenesi;O
terapia;O
potrebbe;O
avere;O
un;O
ruolo;O
in;O
Ridurre;O
regionale;O
metastasi;O
.;O
;
Promozione;O
di;O
tumorigenesi;O
di;O
eterozigote;O
interruzione;O
di;O
il;O
beclin;B-Gene_o_prodotto_genico
1;I-Gene_o_prodotto_genico
Autofagia;O
gene;O
.;O
;
Maligno;B-Cellula
cellule;I-Cellula
spesso;O
Schermo;O
difetti;O
in;O
Autofagia;O
""",""";O
un;O
evolutivamente;O
conservato;O
sentiero;O
per;O
degradante;O
lungo;O
-;O
proteine;O
e;O
citoplasmatico;B-Componente_cellulare
Organelli;I-Componente_cellulare
.;O
;
però;O
""",""";O
come;O
ancora;O
""",""";O
là;O
è;O
no;O
genetico;O
prova;O
per;O
un;O
ruolo;O
di;O
Autofagia;O
geni;O
in;O
tumore;B-Cancro
soppressione;O
.;O
;
Il;O
beclin;B-Gene_o_prodotto_genico
1;I-Gene_o_prodotto_genico
Autofagia;O
gene;O
è;O
monoallellico;O
cancellato;O
in;O
40;O
-;O
75;O
%;O
di;O
casi;O
di;O
umano;B-Organismo
sporadico;O
Seno;B-Cancro
""",""";O
ovarico;B-Cancro
""",""";O
e;O
prostata;B-Cancro
cancro;I-Cancro
.;O
;
Perciò;O
""",""";O
noi;O
Usato;O
un;O
mirata;O
mutante;O
topo;B-Organismo
modello;O
a;O
test;O
il;O
ipotesi;O
Quello;O
monoallelico;O
cancellazione;O
di;O
beclin;B-Gene_o_prodotto_genico
1;I-Gene_o_prodotto_genico
Promuoves;O
tumorigenesi;O
.;O
;
Qui;O
noi;O
mostrare;O
Quello;O
eterozigote;O
interruzione;O
di;O
beclin;B-Gene_o_prodotto_genico
1;I-Gene_o_prodotto_genico
aumenti;O
il;O
frequenza;O
di;O
spontaneo;O
malignità;B-Cancro
e;O
accelera;O
il;O
sviluppo;O
di;O
epatite;B-Organismo
B;I-Organismo
virus;I-Organismo
-;O
indotto;O
premalignant;B-Formazione_patologica
lesioni;I-Formazione_patologica
.;O
;
Molecolare;O
analisi;O
di;O
tumori;B-Cancro
in;O
beclin;B-Gene_o_prodotto_genico
1;I-Gene_o_prodotto_genico
eterozigote;O
mostrare;O
Quello;O
il;O
rimanente;O
selvaggio;O
-;O
genere;O
Allele;O
è;O
mutato;O
né;O
silenziato;O
.;O
;
""",""";O
beclin;B-Gene_o_prodotto_genico
1;I-Gene_o_prodotto_genico
eterozigote;O
interruzione;O
risultati;O
in;O
cellulare;B-Cellula
proliferazione;O
e;O
ridotto;O
Autofagia;O
in;O
vivo;O
.;O
;
Queste;O
reperti;O
dimostrare;O
Quello;O
beclin;B-Gene_o_prodotto_genico
1;I-Gene_o_prodotto_genico
è;O
un;O
Haplo;O
-;O
insufficiente;O
tumore;B-Cancro
-;O
soppressore;O
gene;O
e;O
fornire;O
genetico;O
prova;O
Quello;O
Autofagia;O
è;O
un;O
romanzo;O
meccanismo;O
di;O
cellula;B-Cellula
-;O
crescita;O
controllo;O
e;O
tumore;B-Cancro
soppressione;O
.;O
;
così;O
""",""";O
mutazione;O
di;O
beclin;B-Gene_o_prodotto_genico
1;I-Gene_o_prodotto_genico
o;O
Altro;O
Autofagia;O
geni;O
può;O
contribuire;O
a;O
il;O
patogenesi;O
di;O
umano;B-Organismo
Canceri;B-Cancro
.;O
;
Effetti;O
di;O
dietetico;O
folata;B-Semplice_chimico
Su;O
ulcerosa;B-Formazione_patologica
colite;I-Formazione_patologica
-;O
associato;O
colorante;B-Struttura_multi-tessuto
carcinogenesi;O
in;O
il;O
interleuche;B-Gene_o_prodotto_genico
2;I-Gene_o_prodotto_genico
-;O
e;O
beta;B-Gene_o_prodotto_genico
(;I-Gene_o_prodotto_genico
2;I-Gene_o_prodotto_genico
);I-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
microglobulina;I-Gene_o_prodotto_genico
-;O
carente;O
.;O
;
Folata;B-Semplice_chimico
supplemento;O
può;O
ridurre;O
il;O
rischio;O
di;O
colorante;B-Formazione_patologica
displasia;I-Formazione_patologica
e;O
cancro;B-Cancro
in;O
soggetti;O
cronico;O
ulcerosa;B-Formazione_patologica
colite;I-Formazione_patologica
(;O
UC;B-Formazione_patologica
);O
.;O
;
Il;O
interleuche;B-Gene_o_prodotto_genico
(;I-Gene_o_prodotto_genico
);I-Gene_o_prodotto_genico
2;I-Gene_o_prodotto_genico
-;O
e;O
beta;B-Gene_o_prodotto_genico
(;I-Gene_o_prodotto_genico
2;I-Gene_o_prodotto_genico
);I-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
microglobulina;I-Gene_o_prodotto_genico
(;O
beta;B-Gene_o_prodotto_genico
(;I-Gene_o_prodotto_genico
2;I-Gene_o_prodotto_genico
);I-Gene_o_prodotto_genico
m;I-Gene_o_prodotto_genico
);O
-;O
carente;O
(;O
-;I-Gene_o_prodotto_genico
2;I-Gene_o_prodotto_genico
(;O
nullo;O
);O
X;O
beta;B-Gene_o_prodotto_genico
(;I-Gene_o_prodotto_genico
2;I-Gene_o_prodotto_genico
);I-Gene_o_prodotto_genico
m;I-Gene_o_prodotto_genico
(;O
nullo;O
);O
);O
spontaneamente;O
sviluppare;O
colon;B-Cancro
cancro;I-Cancro
in;O
il;O
collocamento;O
di;O
cronico;O
UC;B-Formazione_patologica
.;O
;
Questo;O
studio;O
indagato;O
il;O
Effetti;O
di;O
dietetico;O
folata;B-Semplice_chimico
Su;O
il;O
sviluppo;O
di;O
UC;B-Formazione_patologica
-;O
associato;O
colon;B-Cancro
cancro;I-Cancro
in;O
il;O
-;I-Gene_o_prodotto_genico
2;I-Gene_o_prodotto_genico
(;O
nullo;O
);O
X;O
beta;B-Gene_o_prodotto_genico
(;I-Gene_o_prodotto_genico
2;I-Gene_o_prodotto_genico
);I-Gene_o_prodotto_genico
m;I-Gene_o_prodotto_genico
(;O
nullo;O
);O
.;O
;
Svezzamento;O
-;I-Gene_o_prodotto_genico
2;I-Gene_o_prodotto_genico
(;O
nullo;O
);O
X;O
beta;B-Gene_o_prodotto_genico
(;I-Gene_o_prodotto_genico
2;I-Gene_o_prodotto_genico
);I-Gene_o_prodotto_genico
m;I-Gene_o_prodotto_genico
(;O
nullo;O
);O
erano;O
randomizzato;O
a;O
ricevere;O
0;O
(;O
carente;O
";";O
n;O
=;O
40;O
);O
""",""";O
2;O
(;O
basale;O
Requisiti;O
";";O
controllo;O
";";O
n;O
=;O
46;O
);O
""",""";O
o;O
8;O
(;O
integrato;O
";";O
n;O
=;O
36;O
);O
mg;O
folata;B-Semplice_chimico
/;O
kg;O
dieta;O
per;O
32;O
settimane;O
.;O
;
In;O
necroscopia;O
""",""";O
Tutti;O
macroscopico;O
colonic;B-Cancro
tumori;I-Cancro
erano;O
identificato;O
e;O
istologicamente;O
classificato;O
come;O
displasia;B-Formazione_patologica
o;O
adenocarcinoma;B-Cancro
.;O
;
Il;O
incidenza;O
di;O
alto;B-Formazione_patologica
-;I-Formazione_patologica
grado;I-Formazione_patologica
lesioni;I-Formazione_patologica
(;O
alto;B-Formazione_patologica
-;I-Formazione_patologica
grado;I-Formazione_patologica
displasia;I-Formazione_patologica
/;O
carcinoma;B-Cancro
in;O
situ;O
e;O
invasivo;O
adenocarcinoma;B-Cancro
);O
in;O
il;O
folata;B-Semplice_chimico
-;O
integrato;O
gruppo;O
era;O
46;O
%;O
inferiore;O
di;O
Quello;O
in;O
il;O
controllo;O
gruppo;O
(;O
35;O
.;O
3;O
%;O
contro;O
65;O
.;O
1;O
%;O
""",""";O
P;O
=;O
0;O
.;O
9;O
);O
.;O
;
Il;O
incidenza;O
di;O
alto;B-Formazione_patologica
-;I-Formazione_patologica
grado;I-Formazione_patologica
lesioni;I-Formazione_patologica
in;O
il;O
folata;B-Semplice_chimico
-;O
carente;O
gruppo;O
era;O
anche;O
49;O
%;O
inferiore;O
di;O
Quello;O
in;O
il;O
controllo;O
gruppo;O
(;O
33;O
.;O
3;O
%;O
contro;O
65;O
.;O
1;O
%;O
""",""";O
P;O
=;O
0;O
.;O
7;O
);O
.;O
;
Il;O
mortalità;O
Vota;O
in;O
il;O
folata;B-Semplice_chimico
-;O
carente;O
gruppo;O
rispetto;O
il;O
Altro;O
Due;O
gruppi;O
(;O
25;O
%;O
contro;O
6;O
.;O
5;O
%;O
e;O
5;O
.;O
6;O
%;O
""",""";O
P;O
<;O
0;O
.;O
2;O
);O
