tokens;ner_tags
-;I-Gene_o_prodotto_genico
2;I-Gene_o_prodotto_genico
e;O
CD36;B-Gene_o_prodotto_genico
mRNA;O
in;O
queste;O
campioni;O
.;O
;
Mmp;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
2;I-Gene_o_prodotto_genico
era;O
malignità;O
""",""";O
ma;O
no;O
espressione;O
di;O
Mmp;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
9;I-Gene_o_prodotto_genico
era;O
visto;O
.;O
;
Il;O
CD47;B-Gene_o_prodotto_genico
recettore;I-Gene_o_prodotto_genico
fatto;O
leggermente;O
aumento;O
malignità;O
tranne;O
per;O
H3327;B-Cancro
.;O
;
Il;O
risultati;O
mostrato;O
Quello;O
trombospondin;B-Gene_o_prodotto_genico
è;O
espresso;O
in;O
normale;O
prostata;B-Organo
ma;O
non;O
in;O
prostata;B-Cancro
tumori;I-Cancro
in;O
un;O
ratto;B-Organismo
modello;O
.;O
;
Contemporaneamente;O
""",""";O
Mmp;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
2;I-Gene_o_prodotto_genico
espressione;O
aumenti;O
malignità;O
.;O
;
Bovino;B-Organismo
papillomavirus;I-Organismo
E7;B-Gene_o_prodotto_genico
trasformazione;O
funzione;O
correlati;O
cellulare;B-Cellula
P600;B-Gene_o_prodotto_genico
proteina;O
legame;O
.;O
;
Il;O
E7;B-Gene_o_prodotto_genico
oncoproteina;O
di;O
bovino;B-Organismo
papillomavirus;I-Organismo
genere;I-Organismo
1;I-Organismo
(;O
BPV;B-Organismo
-;I-Organismo
1;I-Organismo
);O
è;O
necessario;O
per;O
il;O
completo;O
trasformazione;O
attività;O
di;O
il;O
virus;O
.;O
;
però;O
""",""";O
il;O
meccanismo;O
di;O
quale;O
E7;B-Gene_o_prodotto_genico
contribuisce;O
a;O
cellulare;B-Cellula
trasformazione;O
è;O
sconosciuto;O
.;O
;
Per;O
indirizzo;O
questo;O
domanda;O
""",""";O
noi;O
Usato;O
il;O
proteomico;O
approccio;O
di;O
tandem;O
affinità;O
purificazione;O
a;O
identificare;O
cellulare;B-Cellula
proteine;O
Quello;O
sono;O
in;O
complesso;O
E7;B-Gene_o_prodotto_genico
""",""";O
e;O
identificato;O
il;O
600;O
-;O
kda;O
proteina;O
""",""";O
P600;B-Gene_o_prodotto_genico
""",""";O
come;O
un;O
legame;O
compagno;O
di;O
E7;B-Gene_o_prodotto_genico
.;O
;
Il;O
capacità;O
di;O
E7;B-Gene_o_prodotto_genico
a;O
complesso;O
P600;B-Gene_o_prodotto_genico
correlato;O
suo;O
capacità;O
a;O
migliorare;O
ancoraggio;O
indipendenza;O
di;O
BPV;B-Organismo
-;O
1;O
E6;B-Gene_o_prodotto_genico
-;O
esprimere;O
cellule;B-Cellula
.;O
;
""",""";O
E7;B-Gene_o_prodotto_genico
mutante;O
proteine;O
compromesso;O
in;O
capacità;O
a;O
legamento;O
P600;B-Gene_o_prodotto_genico
erano;O
trasformazione;O
difettoso;O
.;O
;
Inoltre;O
""",""";O
stendere;O
di;O
P600;B-Gene_o_prodotto_genico
ridotto;O
trasformazione;O
di;O
cellule;B-Cellula
esprimere;O
entrambi;O
BPV;B-Organismo
-;I-Organismo
1;I-Organismo
E6;B-Gene_o_prodotto_genico
e;O
E7;B-Gene_o_prodotto_genico
""",""";O
come;O
bene;O
come;O
E6;B-Gene_o_prodotto_genico
solo;O
""",""";O
Suggerendo;O
Quello;O
il;O
capacità;O
di;O
E7;B-Gene_o_prodotto_genico
a;O
trasformato;O
cellule;B-Cellula
è;O
mediato;O
""",""";O
a;O
meno;O
in;O
parte;O
""",""";O
attraverso;O
suo;O
capacità;O
a;O
legamento;O
P600;B-Gene_o_prodotto_genico
.;O
;
Queste;O
dati;O
complemento;O
opera;O
Quello;O
Spettacoli;O
Quello;O
HPV16;B-Organismo
E7;B-Gene_o_prodotto_genico
anche;O
interagisce;O
P600;B-Gene_o_prodotto_genico
""",""";O
e;O
Quello;O
questo;O
interazione;O
correlati;O
il;O
capacità;O
di;O
HPV16;B-Organismo
E7;B-Gene_o_prodotto_genico
a;O
trasformare;O
cellule;B-Cellula
.;O
;
Queste;O
Studi;O
così;O
identificare;O
P600;B-Gene_o_prodotto_genico
come;O
un;O
condiviso;O
obbiettivo;O
di;O
il;O
E7;B-Gene_o_prodotto_genico
proteine;O
di;O
multiplo;O
papillomavirus;B-Organismo
.;O
;
Molecolare;O
requisiti;O
per;O
epiteliale;B-Cellula
-;O
mesenchymal;B-Cellula
transizione;O
durante;O
tumore;B-Cancro
progressione;O
.;O
;
Epiteliale;B-Cellula
-;O
mesenchymal;B-Cellula
transizioni;O
(;O
EMX;O
);O
verificarsi;O
come;O
chiave;O
passi;O
durante;O
embrionale;B-Struttura_anatomica_in_sviluppo
morfogenesi;O
""",""";O
e;O
sono;O
Ora;O
implicato;O
in;O
il;O
progressione;O
di;O
primario;O
tumori;B-Cancro
metastasi;O
.;O
;
Recente;O
progressi;O
avere;O
promosso;O
un;O
dettagliato;O
comprensione;O
di;O
molecolare;O
meccanismi;O
e;O
reti;O
governante;O
Emt;O
in;O
tumore;B-Cancro
progressione;O
.;O
;
oltretutto;O
Tgfbeta;B-Gene_o_prodotto_genico
e;O
Rtk;B-Gene_o_prodotto_genico
/;O
Ras;B-Gene_o_prodotto_genico
segnalazione;O
""",""";O
Autocrine;O
fattori;O
e;O
Wnt;B-Gene_o_prodotto_genico
-;O
""",""";O
Tacca;B-Gene_o_prodotto_genico
-;O
""",""";O
Riccio;B-Gene_o_prodotto_genico
-;O
e;O
Nf;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
cappabina;I-Gene_o_prodotto_genico
-;O
dipendente;O
percorsi;O
erano;O
trovato;O
a;O
contribuire;O
a;O
Emt;B-Gene_o_prodotto_genico
.;O
;
Repressione;O
di;O
E;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
caderina;I-Gene_o_prodotto_genico
di;O
trascrizionale;O
Regolatori;O
tale;O
come;O
Lumaca;B-Gene_o_prodotto_genico
o;O
Intrecciare;B-Gene_o_prodotto_genico
emerge;O
come;O
uno;O
critico;O
guida;O
Emt;O
""",""";O
e;O
questo;O
palcoscenico;O
è;O
attualmente;O
essendo;O
molecolare;O
collegato;O
molti;O
di;O
il;O
nuovo;O
Giocatori;O
.;O
;
Crescente;O
prova;O
suggerisce;O
Quello;O
Emt;O
gioca;O
un;O
specifica;O
ruolo;O
in;O
il;O
migrazione;O
di;O
cellule;B-Cellula
un;O
primario;O
tumore;B-Cancro
in;O
il;O
circolazione;O
e;O
Maggio;O
fornire;O
un;O
per;O
sviluppando;O
efficace;O
cancro;B-Cancro
terapie;O
.;O
;
Minimo;O
contributo;O
di;O
midollo;B-Cellula
-;I-Cellula
derivato;I-Cellula
endoteliale;I-Cellula
precursori;I-Cellula
a;O
tumore;B-Struttura_multi-tessuto
Vasculature;I-Struttura_multi-tessuto
.;O
;
Durante;O
embriogenesi;O
""",""";O
vascolare;B-Cellula
e;O
emoopoietico;B-Cellula
cellule;I-Cellula
origine;O
un;O
Comune;O
precursore;O
""",""";O
il;O
Emangioblast;B-Cellula
.;O
;
Recente;O
prova;O
suggerisce;O
il;O
esistenza;O
di;O
endoteliale;B-Cellula
precursori;I-Cellula
in;O
adulto;O
osso;B-Cellula
midollo;I-Cellula
cellule;I-Cellula
""",""";O
ma;O
esso;O
è;O
se;O
quelli;O
precursori;O
avere;O
un;O
ruolo;O
in;O
tumore;B-Cancro
neovascolarizzazione;O
.;O
;
In;O
questo;O
rapporto;O
""",""";O
noi;O
dimostrare;O
Quello;O
murina;B-Organismo
osso;B-Struttura_multi-tessuto
midollo;I-Struttura_multi-tessuto
contiene;O
endoteliale;B-Cellula
progenitori;I-Cellula
""",""";O
quale;O
presentarsi;O
un;O
cellula;B-Cellula
-;O
Rinnovamento;O
capacità;O
""",""";O
e;O
Potere;O
integrare;O
in;O
tumore;B-Tessuto
microvascolatura;I-Tessuto
""",""";O
a;O
un;O
molto;O
basso;O
frequenza;O
.;O
;
UN;O
Transgenico;O
Doppio;O
-;O
reporter;O
strategia;O
consentito;O
noi;O
a;O
dimostrare;O
definitivamente;O
Quello;O
tumore;B-Cellula
osso;I-Cellula
midollo;I-Cellula
-;I-Cellula
derivato;I-Cellula
endoteliale;I-Cellula
cellule;I-Cellula
presentarsi;O
di;O
transdifferenziazione;O
di;O
midollo;B-Cellula
progenitori;I-Cellula
piuttosto;O
di;O
di;O
cellula;B-Cellula
fusione;O
.;O
;
Separare;O
cellula;B-Cellula
trapianti;O
mostrato;O
Quello;O
un;O
Comune;O
precursore;O
contribuisce;O
a;O
entrambi;O
il;O
emoopoietico;B-Cellula
e;O
endoteliale;B-Cellula
lignaggi;I-Cellula
""",""";O
così;O
dimostrazione;O
il;O
presenza;O
di;O
un;O
adulto;O
Emangioblast;B-Cellula
.;O
;
""",""";O
noi;O
dimostrare;O
Quello;O
vascolare;B-Gene_o_prodotto_genico
endoteliale;I-Gene_o_prodotto_genico
crescita;I-Gene_o_prodotto_genico
fattore;I-Gene_o_prodotto_genico
(;I-Gene_o_prodotto_genico
VEGF;I-Gene_o_prodotto_genico
);I-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
UN;I-Gene_o_prodotto_genico
secrezione;O
di;O
tumore;B-Cellula
cellule;I-Cellula
""",""";O
come;O
bene;O
come;O
Attivazione;O
di;O
VEGF;B-Gene_o_prodotto_genico
recettore;I-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
2;I-Gene_o_prodotto_genico
in;O
osso;B-Cellula
midollo;I-Cellula
cellule;I-Cellula
fa;O
non;O
alter;O
il;O
mobilitazione;O
e;O
incorporazione;O
di;O
midollo;B-Cellula
-;I-Cellula
derivato;I-Cellula
endoteliale;I-Cellula
progenitori;I-Cellula
in;O
tumore;B-Tessuto
Vasculature;I-Tessuto
.;O
;
Finalmente;O
""",""";O
in;O
umano;B-Organismo
ombelicale;B-Cellula
cavo;I-Cellula
sangue;I-Cellula
cellule;I-Cellula
""",""";O
noi;O
mostrare;O
Quello;O
endoteliale;B-Cellula
precursori;I-Cellula
fare;O
su;O
soltanto;O
circa;O
1;O
in;O
10;O
(;O
7;O
);O
mononucleare;B-Cellula
cellule;I-Cellula
ma;O
sono;O
altamente;O
arricchito;O
in;O
il;O
CD133;B-Gene_o_prodotto_genico
+;O
cellula;O
popolazione;O
.;O
;
Di;O
dominante;O
fuori;O
cellula;B-Cellula
fusione;O
""",""";O
noi;O
chiaramente;O
dimostrare;O
il;O
esistenza;O
di;O
un;O
adulto;O
Emangioblast;B-Cellula
""",""";O
ma;O
il;O
differenziazione;O
di;O
midollo;B-Cellula
stelo;I-Cellula
cellule;I-Cellula
verso;O
il;O
endoteliale;B-Cellula
lignaggio;I-Cellula
è;O
un;O
estremamente;O
raro;O
evento;O
.;O
;
""",""";O
noi;O
mostrare;O
Quello;O
VEGF;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
UN;I-Gene_o_prodotto_genico
stimolazione;O
di;O
emoopoietico;B-Cellula
cellule;I-Cellula
fa;O
non;O
alter;O
questo;O
processi;O
.;O
;
Istopatologico;O
sviluppo;O
di;O
gastrico;B-Cancro
tumori;I-Cancro
indotto;O
di;O
n;B-Semplice_chimico
-;I-Semplice_chimico
metile;I-Semplice_chimico
-;I-Semplice_chimico
n;I-Semplice_chimico
""",""I-Semplice_chimico";
-;I-Semplice_chimico
nitro;I-Semplice_chimico
-;I-Semplice_chimico
n;I-Semplice_chimico
-;I-Semplice_chimico
nitrosoguanidina;I-Semplice_chimico
in;O
ratti;B-Organismo
.;O
;
Il;O
sviluppo;O
di;O
carcinoma;B-Cancro
era;O
esaminato;O
in;O
maschio;O
Wistar;B-Organismo
ratti;I-Organismo
(;O
n;O
=;O
120;O
);O
esposto;O
a;O
n;B-Semplice_chimico
-;I-Semplice_chimico
metile;I-Semplice_chimico
-;I-Semplice_chimico
n;I-Semplice_chimico
""",""I-Semplice_chimico";
-;I-Semplice_chimico
nitro;I-Semplice_chimico
-;I-Semplice_chimico
n;I-Semplice_chimico
-;I-Semplice_chimico
nitrosoguanidina;I-Semplice_chimico
(;O
Mnng;B-Semplice_chimico
);O
in;O
il;O
potabile;O
acqua;B-Semplice_chimico
(;O
83;O
microgrammi;O
/;O
ml;O
);O
per;O
16;O
settimane;O
.;O
;
Dopo;O
Mnng;B-Semplice_chimico
amministrazione;O
""",""";O
ratti;B-Organismo
erano;O
indagato;O
di;O
endoscopico;O
osservazione;O
""",""";O
visualizzazione;O
di;O
microvascolare;B-Tessuto
struttura;O
""",""";O
e;O
stima;O
di;O
Lectin;B-Gene_o_prodotto_genico
legame;O
siti;O
.;O
;
di;O
bile;B-Sostanza_organismo
riflusso;O
a;O
il;O
stomaco;B-Organo
era;O
osservato;O
endoscopicamente;O
a;O
24;O
settimane;O
come;O
bene;O
come;O
il;O
sviluppo;O
di;O
gastrico;B-Formazione_patologica
mucosale;I-Formazione_patologica
erosioni;I-Formazione_patologica
.;O
;
Sporgente;O
e;O
espansivo;O
ulceratura;B-Cancro
carcinomi;I-Cancro
sviluppato;O
a;O
36;O
settimane;O
e;O
aveva;O
un;O
microvascolare;B-Tessuto
modello;O
simile;O
a;O
Quello;O
di;O
umano;B-Organismo
adenocarcinoma;B-Cancro
.;O
;
Stima;O
di;O
Lectin;B-Gene_o_prodotto_genico
legame;O
posto;O
e;O
modello;O
era;O
utile;O
a;O
valutare;O
il;O
maligno;O
potenziale;O
di;O
cellula;B-Cellula
proliferazione;O
.;O
;
Noi;O
postulato;O
Quello;O
endoscopico;O
osservazione;O
è;O
prezioso;O
in;O
indagarsi;O
il;O
sviluppo;O
di;O
gastrico;B-Cancro
carcinoma;I-Cancro
""",""";O
e;O
microvascolare;B-Tessuto
struttura;O
e;O
Lectin;B-Gene_o_prodotto_genico
legame;O
modello;O
Maggio;O
essere;O
utile;O
a;O
dimostrare;O
il;O
meccanismo;O
di;O
crescita;O
di;O
gastrico;B-Cancro
carcinoma;I-Cancro
.;O
;
Diminuire;O
in;O
C;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
attività;O
migliora;O
cancro;B-Cellula
cellula;I-Cellula
sensibilità;O
a;O
vinblastina;B-Semplice_chimico
.;O
;
Il;O
C;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
oncogene;O
codifica;O
per;O
un;O
trascrizionale;O
fattore;O
coinvolto;O
in;O
molti;O
cellulare;B-Cellula
processi;O
tale;O
come;O
proliferazione;O
""",""";O
differenziazione;O
e;O
apoptosi;O
.;O
;
Secondo;O
a;O
queste;O
diverso;O
funzioni;O
""",""";O
il;O
ruolo;O
di;O
C;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
proteina;O
in;O
cellulare;B-Cellula
sensibilità;O
a;O
anti;O
-;O
cancro;B-Cancro
droghe;O
è;O
controverso;O
.;O
;
Noi;O
definito;O
il;O
ruolo;O
di;O
C;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
in;O
cancro;B-Cellula
cellula;I-Cellula
sensibilità;O
a;O
vinblastina;B-Semplice_chimico
(;O
VLB;B-Semplice_chimico
);O
usando;O
umano;B-Organismo
colon;B-Cellula
cancro;I-Cellula
cellule;I-Cellula
:;O
Lovo;B-Cellula
selvaggio;O
-;O
genere;O
o;O
trasfettato;O
un;O
plasmide;O
contenente;O
il;O
umano;B-Organismo
C;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
gene;O
in;O
antisenso;O
orientamento;O
(;O
Lovo;B-Cellula
-;I-Cellula
mycans;I-Cellula
);O
.;O
;
Analisi;O
di;O
VLB;B-Semplice_chimico
citotossicità;O
dimostrato;O
un;O
3;O
-;O
piega;O
aumento;O
in;O
VLB;B-Semplice_chimico
sensibilità;O
in;O
Lovo;B-Cellula
-;I-Cellula
mycans;I-Cellula
cellule;I-Cellula
.;O
;
Confronto;O
tra;O
cellule;B-Cellula
rivelato;O
diverso;O
apoptosi;O
cinetica;O
:;O
accumulo;O
di;O
cellule;B-Cellula
in;O
sub;O
-;O
G1;O
fase;O
e;O
poli;B-Gene_o_prodotto_genico
(;I-Gene_o_prodotto_genico
ADP;I-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
ribosio;I-Gene_o_prodotto_genico
);I-Gene_o_prodotto_genico
polimerasi;I-Gene_o_prodotto_genico
scollatura;O
prima;O
in;O
Lovo;B-Cellula
-;I-Cellula
mycans;I-Cellula
.;O
;
Quindi;O
""",""";O
noi;O
dimostrato;O
un;O
mitocondriale;B-Componente_cellulare
membrana;I-Componente_cellulare
potenziale;O
interruzione;O
seguito;O
di;O
citocromo;B-Gene_o_prodotto_genico
C;I-Gene_o_prodotto_genico
pubblicazione;O
Quello;O
indica;O
il;O
coinvolgimento;O
di;O
mitocondri;B-Componente_cellulare
in;O
questo;O
apoptotico;O
segnalazione;O
sentiero;O
.;O
;
Questo;O
prima;O
apoptosi;O
era;O
accompagnato;O
di;O
un;O
Bdc;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
2;I-Gene_o_prodotto_genico
diminuire;O
e;O
un;O
P53;B-Gene_o_prodotto_genico
aumento;O
.;O
;
In;O
conclusione;O
""",""";O
il;O
diminuire;O
in;O
C;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
espressione;O
migliorato;O
il;O
VLB;B-Semplice_chimico
sensibilità;O
""",""";O
Trigger;O
prima;O
apoptosi;O
attraverso;O
induzione;O
di;O
il;O
intrinseco;O
sentiero;O
.;O
;
così;O
""",""";O
C;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
induzione;O
è;O
un;O
resistenza;O
fattore;O
e;O
Nostro;O
reperti;O
suggerire;O
Quello;O
tumori;B-Cancro
trasportare;O
basso;O
livelli;O
di;O
C;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
proteina;O
Potevo;O
essere;O
reattivo;O
a;O
Vinca;B-Semplice_chimico
alcaloids;I-Semplice_chimico
trattamento;O
.;O
;
Inoltre;O
""",""";O
il;O
downregolazione;O
di;O
C;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
oncogene;O
di;O
un;O
antisenso;O
strategia;O
potrebbe;O
rappresentare;O
un;O
utile;O
obiettivo;O
per;O
miglioramento;O
il;O
efficacia;O
di;O
questo;O
anti;O
-;O
neoplastico;O
droga;O
famiglia;O
.;O
;
Alterazione;O
di;O
homeobox;B-Gene_o_prodotto_genico
gene;O
espressione;O
di;O
n;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
ras;I-Gene_o_prodotto_genico
trasformazione;O
di;O
PAPÀ;B-Cellula
-;I-Cellula
1;I-Cellula
umano;I-Cellula
Teratocarcinoma;I-Cellula
cellule;I-Cellula
.;O
;
Noi;O
Usato;O
un;O
serie;O
di;O
cellula;B-Cellula
cloni;I-Cellula
un;O
umano;B-Organismo
Teratocarcinoma;B-Cellula
cellula;I-Cellula
linea;I-Cellula
""",""";O
PAPÀ;B-Cellula
-;I-Cellula
1;I-Cellula
""",""";O
a;O
studio;O
il;O
effetto;O
di;O
trasformazione;O
di;O
un;O
attivato;O
n;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
ras;I-Gene_o_prodotto_genico
oncogene;O
Su;O
il;O
espressione;O
di;O
geni;O
coinvolto;O
in;O
retinoico;B-Semplice_chimico
acido;I-Semplice_chimico
(;O
RA;B-Semplice_chimico
);O
-;O
indotto;O
differenziazione;O
e;O
crescita;O
regolamento;O
.;O
;
Recentemente;O
""",""";O
esso;O
ha;O
stato;O
mostrato;O
Quello;O
espressione;O
di;O
umano;B-Organismo
Hox;B-Gene_o_prodotto_genico
2;I-Gene_o_prodotto_genico
geni;O
è;O
attivato;O
di;O
RA;B-Semplice_chimico
inizio;O
Hox;B-Gene_o_prodotto_genico
2;I-Gene_o_prodotto_genico
.;I-Gene_o_prodotto_genico
9;I-Gene_o_prodotto_genico
a;O
il;O
3;O
""",""O";
fine;O
di;O
il;O
Hox;B-Gene_o_prodotto_genico
2;I-Gene_o_prodotto_genico
grappolo;O
(;O
UN;O
.;O
Simeone;O
""",""";O
D;O
.;O
Acampora;O
""",""";O
L;O
.;O
Arcioni;O
""",""";O
P;O
.;O
W;O
.;O
Andrews;O
""",""";O
E;O
.;O
Boncinelli;O
""",""";O
e;O
F;O
.;O
Mavilio;O
""",""";O
Natura;O
[;O
Londra;O
];O
346;O
:;O
763;O
-;O
766;O
""",""";O
1990;O
);O
.;O
;
Noi;O
Ora;O
rapporto;O
Quello;O
sei;O
diverso;O
geni;O
di;O
il;O
grappolo;O
Hox;B-Gene_o_prodotto_genico
1;I-Gene_o_prodotto_genico
sono;O
indotto;O
di;O
RA;B-Semplice_chimico
in;O
un;O
simile;O
temporale;O
modello;O
""",""";O
inizio;O
geni;O
a;O
il;O
3;O
""",""O";
fine;O
di;O
il;O
grappolo;O
.;O
;
però;O
""",""";O
in;O
n;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
ras;I-Gene_o_prodotto_genico
-;O
trasformato;O
cellula;B-Cellula
cloni;I-Cellula
""",""";O
RA;B-Semplice_chimico
-;O
indotto;O
espressione;O
di;O
queste;O
homeobox;B-Gene_o_prodotto_genico
geni;O
è;O
ritardato;O
.;O
;
Hox;B-Gene_o_prodotto_genico
1;I-Gene_o_prodotto_genico
.;I-Gene_o_prodotto_genico
4;I-Gene_o_prodotto_genico
e;O
Hox;B-Gene_o_prodotto_genico
1;I-Gene_o_prodotto_genico
.;I-Gene_o_prodotto_genico
3;I-Gene_o_prodotto_genico
""",""";O
geni;O
abbondantemente;O
indotto;O
in;O
cloni;B-Cellula
dopo;O
3;O
giorni;O
di;O
RA;B-Semplice_chimico
trattamento;O
""",""";O
sono;O
espresso;O
in;O
n;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
ras;I-Gene_o_prodotto_genico
-;O
trasformato;O
cellule;B-Cellula
soltanto;O
dopo;O
10;O
giorni;O
di;O
RA;B-Semplice_chimico
trattamento;O
.;O
;
In;O
questo;O
tempo;O
""",""";O
il;O
cellule;B-Cellula
""",""O";
crescita;O
è;O
arrestato;O
a;O
molto;O
alto;O
densità;O
""",""";O
e;O
no;O
differenziato;O
morfologico;O
caratteristiche;O
sono;O
osservato;O
.;O
;
Costitutivo;O
espressione;O
di;O
un;O
trasfettato;O
Hox;B-Gene_o_prodotto_genico
1;I-Gene_o_prodotto_genico
.;I-Gene_o_prodotto_genico
4;I-Gene_o_prodotto_genico
gene;O
sotto;O
il;O
controllo;O
di;O
un;O
simiano;B-Organismo
virus;I-Organismo
40;I-Organismo
promotore;O
conduce;O
a;O
differenziato;O
cellula;B-Cellula
morfologia;O
simile;O
a;O
Quello;O
di;O
il;O
RA;B-Semplice_chimico
-;O
indotto;O
fenotipo;O
e;O
ripristini;O
il;O
crescita;O
-;O
inibitorio;O
Effetti;O
di;O
RA;B-Semplice_chimico
in;O
n;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
ras;I-Gene_o_prodotto_genico
-;O
trasformato;O
cellule;B-Cellula
.;O
;
Queste;O
osservazioni;O
fornire;O
prova;O
Quello;O
migliorato;O
proliferazione;O
in;O
n;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
ras;I-Gene_o_prodotto_genico
-;O
trasformato;O
cellule;B-Cellula
compromessi;O
teratocarcinoma;B-Cellula
cellula;I-Cellula
differenziazione;O
di;O
un;O
meccanismo;O
Quello;O
transitoriamente;O
soppressi;O
homeobox;B-Gene_o_prodotto_genico
gene;O
induzione;O
e;O
implica;O
un;O
centrale;O
ruolo;O
per;O
homeobox;B-Gene_o_prodotto_genico
geni;O
in;O
RA;B-Semplice_chimico
-;O
indotto;O
cellula;B-Cellula
differenziazione;O
.;O
;
Noi;O
concludere;O
Quello;O
stimolazione;O
di;O
un;O
putativo;O
crescita;O
fattore;O
segnale;O
sentiero;O
""",""";O
associato;O
ras;B-Gene_o_prodotto_genico
-;O
indotto;O
proliferazione;O
""",""";O
transitoriamente;O
soppressi;O
il;O
induzione;O
di;O
trascrizione;O
fattori;O
funzionalmente;O
coinvolto;O
in;O
cellula;B-Cellula
crescita;O
e;O
differenziazione;O
.;O
;
Alto;O
-;O
Dose;O
celecoxib;B-Semplice_chimico
e;O
metronomico;O
basso;O
-;O
dose;O
ciclofosfamide;B-Semplice_chimico
è;O
un;O
efficace;O
e;O
sicuro;O
terapia;O
in;O
pazienti;B-Organismo
recidivad;O
e;O
refrattario;O
aggressivo;O
istologia;O
non;B-Cancro
-;I-Cancro
Hodgkin;I-Cancro
""",""I-Cancro";
S;I-Cancro
linfoma;I-Cancro
.;O
;
SCOPO;O
:;O
Angiogenesi;O
è;O
in;O
aggressivo;O
istologia;O
non;B-Cancro
-;I-Cancro
Hodgkin;I-Cancro
""",""I-Cancro";
S;I-Cancro
linfoma;I-Cancro
e;O
Maggio;O
essere;O
un;O
obbiettivo;O
selettivo;O
cicloossigenasi;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
2;I-Gene_o_prodotto_genico
inibizione;O
e;O
metronomico;O
chemioterapia;O
.;O
;
SPERIMENTALE;O
DESIGN;O
:;O
Noi;O
valutato;O
risposta;O
""",""";O
tossicità;O
""",""";O
e;O
biomarcatori;O
di;O
angiogenesi;O
a;O
basso;O
-;O
dose;O
ciclofosfamide;B-Semplice_chimico
(;O
50;O
mg;O
P;O
.;O
O;O
.;O
O;O
.;O
D;O
.;O
);O
e;O
alto;O
-;O
dose;O
celecoxib;B-Semplice_chimico
(;O
400;O
mg;O
P;O
.;O
O;O
.;O
B;O
.;O
io;O
.;O
D;O
.;O
);O
in;O
adulto;O
pazienti;B-Organismo
recidivad;O
o;O
refrattario;O
aggressivo;O
non;B-Cancro
-;I-Cancro
Hodgkin;I-Cancro
""",""I-Cancro";
S;I-Cancro
linfoma;I-Cancro
in;O
un;O
multicenter;O
fase;O
II;O
prospettiva;O
studio;O
.;O
;
Risultati;O
:;O
Trenta;O
-;O
Due;O
di;O
35;O
pazienti;B-Organismo
(;O
mediano;O
età;O
""",""";O
62;O
anni;O
);O
sono;O
valutabile;O
per;O
risposta;O
.;O
;
Pazienti;B-Organismo
aveva;O
recidivad;O
diffondere;O
grande;O
B;B-Cancro
-;I-Cancro
cellula;I-Cancro
linfoma;I-Cancro
(;O
63;O
%;O
);O
erano;O
pesantemente;O
pretagliato;O
(;O
mediano;O
di;O
tre;O
regimi;O
);O
e;O
alto;O
rischio;O
(;O
79;O
%;O
internazionale;O
prognostico;O
indice;O
""",""";O
maggiore;O
di;O
o;O
=;O
2;O
);O
e;O
34;O
%;O
erano;O
recidivad;O
dopo;O
autologo;O
stelo;B-Cellula
cellula;I-Cellula
trapianto;O
.;O
;
un;O
mediano;O
Seguire;O
-;O
su;O
di;O
8;O
.;O
4;O
mesi;O
""",""";O
il;O
globale;O
migliore;O
risposta;O
Vota;O
è;O
37;O
%;O
(;O
2;O
completare;O
clinico;O
risposta;O
/;O
completare;O
clinico;O
risposta;O
e;O
9;O
parziale;O
risposta;O
);O
""",""";O
22;O
%;O
Raggiungere;O
stabile;O
malattia;O
.;O
;
Mediano;O
globale;O
e;O
progressione;O
-;O
gratuito;O
sopravvissure;O
sono;O
14;O
.;O
4;O
e;O
4;O
.;O
7;O
mesi;O
""",""";O
rispettivamente;O
.;O
;
Il;O
mediano;O
risposta;O
durata;O
era;O
8;O
.;O
2;O
mesi;O
.;O
;
Il;O
Comune;O
tossicità;O
era;O
pelle;B-Organo
(;O
40;O
%;O
);O
";";O
mielosoppressione;O
